date,code,field,time,focal_patch,order,family,species_name,count,location,time_sampled_mins,time_sampled_secs,feeding,niche,current_dispersal,voltinism ,stage,size,Parasitised ,notes,pic_obs_samp,Written
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Coleoptera,Coccinellidae,"Propylea 14-punctutata (Linnaeus, 1758)",1,Underside leaf,12,40,Biting/Chewing,Predator,Fly,Facultative,Adult,M,N,,Observation,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Coleoptera,Apionidae,"Apion carduorum (Kirby, 1808)",1,Leaf near top,1,51,Biting/Chewing,Herbivore,Fly,Univoltine ,Adult,S,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Collembola,Entomobryidae,Entomobryidae sp. (Morpho 1),1,Underside leaf,10,15,Biting/Chewing,Herbivore,Hop,Multivoltine,Adult,XS,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",2,Underside leaf,3,45,Biting/Chewing,Omnivore,Hop,Multivoltine,Both,XS,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Coleoptera,Chrysomelidae,"Sphaeroderma sp. (Graëlls, 1858) (Mine)",1,Leaf near base,5,41,Biting/Chewing,Herbivore,Walk,Univoltine ,Juvenile,S,N,,Pictured,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Diptera,Cecidomyiidae,"Lestopiplosis sp. (Gagné & Jaschhof, 2017) ",1,Rosette,0,27,Biting/Chewing,Predator,Walk ,Multivoltine ,Juvenile,XS,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hemiptera,Cicadellidae,"Notus flavipennis (Zetterstedt, 1828)",2,Leaf,8,1,Piercing/Sucking,Herbivore,Fly,Facultative,Adult,S,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hemiptera,Miridae,"Notostira elongata (Geoffroy, 1785)",2,Leaf near base,2,48,Piercing/Sucking,Herbivore,Fly,Bivoltine,Adult,M,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hemiptera ,Aphididae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",76,Leaf,12,13,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hemiptera ,Cicadellidae,"Zyginidia scutellaris (Herrich-Schäffer, 1838)",2,Underside leaf,9,38,Piercing/Sucking,Herbivore,Fly,Multivoltine,Adult,S,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hymenoptera,Aphelinidae,"Aphelinidae sp. (Thomson, 1876) ",2,Leaf,8,27,Biting/Chewing,Parasitoid,Fly,Multivoltine,Adult,XS,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Hymenoptera,Figitidae,"Figitidae sp. (Thomson, 1862) (Morpho 1 wingless)",1,Leaf,7,14,Biting/Chewing,Parasitoid,Walk,Multivoltine,Adult,XS,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Opiliones,,"Opiliones sp. (Sundevall, 1833) (obs)",1,Leaf near top,14,50,Biting/Chewing,Predator,Walk,,,XL,N,,Observation,written up 20/11/2023
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Araneae,,,0,,,,,,,,,,,,,written up 25/03/2024
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Collembola,,,0,,,,,,,,,,,,,written up 25/03/2024
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Diptera,,,0,,,,,,,,,,,,,written up 25/03/2024
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Coleoptera,Coccinellidae,"Coccinella septempunctata (Linnaeus, 1758)",1,Leaf near flower heads,1,1,Biting/Chewing,Predator ,Fly,Facultative,Adult,M,N,,Observation ,written up 16/08/2023
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Hemiptera ,Aphidae,"Uroleucon cirsii (Linnaeus, 1758)",3,"Leaf, Stem near flower heads",4,2,Piercing/Sucking,Herbivore,Walk,Multivoltine,Both,S,N,Alate  ,Observation ,written up 16/08/2023
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,Opiliones,,"Opiliones sp. (Sundevall, 1833) (obs)",1,Leaf,13,31,Biting/Chewing,Predator,Walk,,,XL,N,Ran away very fast ,Observation ,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Araneae,Theridiidae,"Enoplognatha ovata (Clerck, 1757)",1,Leaf near base,0,25,Biting/Sucking,Predator,Walk,,Adult,M,N,,Observation ,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Coleoptera,Apionidae,"Protapion nigritarse (Kirby, 1808)",1,Leaf near base,9,15,Biting/Chewing,Herbivore,Fly,Univoltine ,Adult,S,M,Dead already,Sampled,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Coleoptera,Chrysomelidae,"Alticini sp. (Newman, 1834) ",1,Rossette ,5,44,Biting/Chewing ,Herbivore,Fly,Facultative,Adult,S,N,,Observed ,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Coleoptera,Coccinellidae,"Coccinella septempunctata (Linnaeus, 1758)",1,Dead flower head,2,15,Biting/Chewing,Predator ,Fly,Facultative,Adult,M,N,,Pictured,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Collembola ,Entomobryidae,Entomobryidae sp. (Morpho 1),1,Leaf,11,40,Biting/Chewing,Herbivore,Hop,Multivoltine,Adult,XS,N,,Sampled ,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Collembola  ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",1,Leaf,13,46,Biting/Chewing,Omnivore,Hop,Multivoltine,Adult,XS,N,,Observation ,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) ",1,Leaf,0,5,Sponging,Herbivore,Fly,,Adult,M,N,,Sampled,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Hemiptera ,Miridae,"Stenodemini sp. (China, 1943) ",2,Leaf near base and on dead flower,9,31,Piercing/Sucking,Herbivore,Fly,Univoltine ,Adult,L,N,,Sampled,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Hemiptera ,Pentatomidae,"Dolycoris baccarum (Linnaeus, 1758)",1,Dead flower head,2,10,Piercing/Sucking,Herbivore,Fly,Univoltine ,Adult,L,N,,Pictured,written up 16/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,Hemiptera ,Aphrophoridae,"Philaenus spumarius (Linnaeus, 1758)",1,Leaf,0,10,Piercing/Sucking,Herbivore,Fly,Univoltine ,Adult,M,N,,Sampled,written up 16/08/2023
11/09/2023,BC_A_2.1,Broad Cliff A,2,3,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
12/09/2023,BC_A_2.2,Broad Cliff A,2,3,Araneae,Theridiidae,"Theridiidae sp. (Sundevall, 1833) ",1,Underside leaf near base,14,30,Biting/Sucking,Predator,Walk,Univoltine ,Adult,S,N,Nest in web ,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",1,Leaf,12,16,Biting/Chewing,Omnivore,Hop,Multivoltine,Adult,XS,N,,Observation ,written up 29/09/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,Diptera,Diastatidae,"Diastatidae sp. (Hendel, 1917) (Morpho 2)",1,Underside leaf near base,14,25,Sponging,Herbivore,Fly,,Adult,S,N,Predated by spider ,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",11,"Underside leaf , Stem",10,1,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,Hymenoptera,Aphelinidae,"Aphelinidae sp. (Thomson, 1876)",1,Leaf,10,56,Biting/Chewing,Parasitoid,Fly,Multivoltine,Adult,XS,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Stylommatophora,Helicidae,"Eobania vermiculata (O. F. Müller, 1774)",1,Underside dead leaf near base,7,24,Chewing,Omnivore,Walk,Univoltine,Juvenile,L,N,Dead already,Pictured,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Araneae ,Linyphiidae,"Linyphiidae sp. (Blackwall, 1859) (Morpho 1)",1,Underside dead leaf near base,7,30,Biting/Sucking,Predator,Walk,Multivoltine,Adult,S,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Collembola,Sminthuridae ,"Sminthurus viridis (Linnaeus, 1758)",1,Leaf,9,32,Biting/Chewing,Omnivore,Hop,Multivoltine,Adult,XS,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Diptera,Opomyzidae,"Geomyza tripunctata (Fallen, 1823)",1,Leaf,1,57,Sponging,Herbivore,Fly,Facultative,Adult,S,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Diptera,Phoridae,"Phoridae sp. (Curtis, 1833) (Morpho 1)",1,Rossette ,0,55,Sponging,Detritivore,Fly,Multivoltine,Adult,S,N,,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Hemiptera ,Aphidae,"Uroleucon cirsii (Linnaeus, 1758)",5,Rossette ,14,2,Piercing/Sucking,Herbivore,Walk,Multivoltine,Both,S,N,Two juviniles and one adult is dead,Sampled,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Hemiptera ,,Auchenorrhyncha sp. (Obs),1,Dead leaf near base,2,40,Piercing/Sucking,Herbivore,,,,S,N,,Observation ,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 2)",7,Rossette ,0,20,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Observation ,written up 29/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) (Mine)",2,Leaf,4,6,Scraping,Herbivore,Walk,Bivoltine,Juvenile,S,N,,Pictured,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,4,Araneae,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Coleoptera,Coccinellidae,"Propylea 14-punctutata (Linnaeus, 1758)",2,Leaf,11,26,Biting/Chewing,Predator,Fly,Facultative,Adult,M,N,,Observation,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",3,Stem,1,20,Biting/Chewing,Omnivore,Hop,Multivoltine,Both,XS,N,,Observation,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Diptera,,"Diptera sp. (Linnaeus, 1758) (obs)",1,Dead leaf,11,55,Sponging,,Fly ,,Adult,M,N,,Observation,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Hemiptera ,,Auchenorrhyncha sp. (Obs),2,Leaf,13,50,Piercing/Sucking,Herbivore,,,,M,N,,Observation ,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",5,Leaf,7,52,Piercing/Sucking,Herbivore ,Walk,Multivoltine,,S,N,,Observation,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Hymenoptera,Apidae,"Bombus pascuorum (Scopoli, 1763)",1,Flower head,14,59,Chewing/Sucking,Pollinator,Fly,Univoltine ,Adult,XL,N,,Observation ,written up 29/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) (Mine)",2,Leaf near flower heads,13,17,Scraping,Herbivore,Walk,Bivoltine,Juvenile,S,N,,Pictured,written up 29/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Araneae,,,0,,,,,,,,,,,,,written up 25/03/2024
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Diptera,,,0,,,,,,,,,,,,,written up 25/03/2024
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",5,Leaf near top,11,20,Biting/Chewing,Omnivore,Hop,Multivoltine,Both,XS,N,,Sampled,written up 07/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Hemiptera ,Aphididae,"Uroleucon cirsii (Linnaeus, 1758)",1,Stem near top,13,50,Piercing/Sucking,Herbivore,Walk,Multivoltine,Adult,S,N,,Sampled,written up 07/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1 Alate)",1,Leaf near top ,10,40,Piercing/Sucking,Herbivore ,Fly,Multivoltine,Adult,S,N,,Sampled,written up 07/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",11,Leaf near top ,10,40,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Sampled,written up 07/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,Thysanoptera,Thripidae ,"Thripidae sp. (Stephens, 1829) (Morpho 2)",1,Leaf near top ,2,37,Biting/Chewing,Herbivore,Fly,Multivoltine,Adult,XS,N,,Observation ,written up 07/09/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Araneae,Theridiidae,"Theridiidae sp. (Sundevall, 1833) ",2,Underside leaf near base,9,50,Biting/Sucking,Predator,Walk,Univoltine ,Both,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Araneae ,Linyphiidae,"Linyphiidae sp. (Blackwall, 1859) (Morpho 2)",1,Leaf ,4,52,Biting/Sucking,Predator,Walk,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Araneae ,Linyphiidae,"Linyphiidae sp. (Blackwall, 1859) (Morpho 3)",1,Leaf ,4,52,Biting/Sucking,Predator,Walk,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Coleoptera,Derodontidae,"Derodontidae sp. (LeConte, 1861)",1,Underside leaf near base,0,8,Biting/Chewing,Detritivore,Fly,Bivoltine,Adult,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Collembola,Entomobryidae,Entomobryidae sp. (Morpho 2),3,Leaf,6,29,Biting/Chewing,Herbivore,Hop,Multivoltine,Both,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Diptera,Cecidomyiidae,Aphidoletes sp. ,1,Leaf,10,59,Biting/Chewing,Predator,Walk,Multivoltine,Juvenile,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hemiptera,Cicadellidae ,"Deltocephalinae sp. (Dallas, 1870) (Morpho 2)",1,Leaf,14,34,Piercing/Sucking,Herbivore,Fly,Facultative,Adult,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",2,Leaf,11,52,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hemiptera ,Aphrophoridae ,"Aphrophoridae sp. (Amyot & Serville, 1843) ",2,Leaf,8,45,Piercing/Sucking ,Herbivore,Fly,Facultative,Adult,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hymenoptera,Figitidae,"Figitidae sp. (Thomson, 1862) (Morpho 1)",2,Leaf near top,12,10,Biting/Chewing,Parasitoid,Fly,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hymenoptera,Aphelinidae,"Aphelinidae sp. (Thomson, 1876)",1,Underside leaf,8,14,Biting/Chewing,Parasitoid,Fly,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.2,Broad Cliff A ,3,2,Hymenoptera,Pteromalidae,"Pteromalidae sp. (Thomson, 1876) (Morpho 3)",1,Underside leaf,3,15,Biting/Chewing,Parasitoid,Fly,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Diptera,,,0,,,,,,,,,,,,,written up 25/03/2024
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Araneae,,"Araneae sp. (Clerck, 1757) (obs)",1,Leaf near base,0,20,Biting/Sucking,Predator,Walk,,,XS,N,,Observation ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Araneae ,Linyphiidae ,"Segestriidae sp. (Simon, 1893)",2,Underside leaf near base,7,33,Biting/Sucking,Predator,Walk,Multivoltine,Adult,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Coleoptera,Chrysomelidae,"Longitarsus sp. (Scopoli, 1763) ",2,Rossette,12,30,Biting/Chewing,Herbivore,Fly,Facultative,Adult,S,N,,Sampled ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Collembola,Entomobryidae,Entomobryidae sp. (Morpho 1),1,Leaf,0,50,Biting/Chewing,Herbivore,Hop,Multivoltine,Adult,XS,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",2,Leaf near base,7,43,Biting/Chewing,Omnivore,Hop,Multivoltine,Both,XS,N,,Sampled ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hemiptera,Miridae,"Megaloceroea recticornis (Geoffroy, 1785)",1,Leaf,13,45,Piercing/Sucking,Herbivore,Fly,Bivoltine,Adult,M,N,,Sampled ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hemiptera,Anthocoridae,"Orius niger (Wolff, 1811)",1,Rossette ,10,41,Piercing/Sucking,Predator,Fly,Multivoltine,Adult,S,N,,Sampled ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hemiptera ,Delphacidae,"Xanthodelphax straminea (Stål, 1858)",1,Leaf near base ,8,15,Piercing/Sucking,Herbivore,Hop,Bivoltine,Adult,S,N,,Sampled,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",1,Underside leaf,6,10,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Juvenile,S,N,,Observation ,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Hemiptera ,Aphidae,"Aphis fabae (Scopoli, 1763)",2,Underside leaf ,4,48,Piercing/Sucking,Herbivore,Walk,Multivoltine,Both,S,Y,,Pictured,written up 11/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A ,3,3,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) (Mine)",5,Leaf,14,37,Scraping,Herbivore,Walk,Bivoltine,Juvenile,S,N,,Pictured,written up 11/11/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Araneae,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Diptera,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",1,Underside leaf near base,10,59,Biting/Chewing,Omnivore,Hop,Multivoltine,Adult,XS,N,,Observation ,written up 28/09/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Hemiptera ,,Auchenorrhyncha sp. (obs),1,Leaf,14,50,Piercing/Sucking,Herbivore,,,,M,N,,Observation,written up 28/09/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Hemiptera ,,Auchenorrhyncha sp. (obs),2,Leaf,14,24,Piercing/Sucking,Herbiviore,,,,S,N,,Observation ,written up 28/09/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Hemiptera ,Aphididae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",1,Leaf,10,2,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Juvenile,S,Y,,Observation ,written up 28/09/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) (Mine)",1,Leaf,9,40,Scraping,Herbivore,Walk,Bivoltine,Juvenile,S,N,,Pictured,written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Acari,Tetranychidae ,"Tetranychidae sp. (Donnadieu, 1875) ",1,Rossette ,1,18,Biting/Sucking,Herbivore ,Walk,Multivoltine,Adult,XS,N,,Sampled,written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Araneae,,"Araneae sp. (Clerck, 1757) (obs)",1,Leaf near base,2,6,Biting/Sucking,Predator,Walk,,,S,N,,Observation ,written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Collembola,Entomobryidae,Entomobryidae sp. (Morpho 1),6,Leaf,8,26,Biting/Chewing,Herbivore,Hop,Multivoltine,Both,XS,N,,Observation ,written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Collembola ,Sminthuridae,"Sminthurus viridis (Linnaeus, 1758)",2,Underside leaf,0,37,Biting/Chewing,Omnivore,Hop,Multivoltine,Both,XS,N,Predated by spider ,Sampled,written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,Diptera,Cecidomyiidae,Aphidoletes sp. ,2,Rosette,5,59,Biting/Chewing,Predator,Walk,Multivoltine ,Juvenile,XS,N,,Sampled,written up 28/09/2023
